filename,id_number,hyphenated_code,field1,field2,field3,field4,field5,field6
0001424,116623,3-DU-90,OTRIVIN PH CH OTC,VERKAUFSSTELLER,,S/TARGA P/34476,D/90 91,A2B4
00092,108682,2-DR-89,PH PRODUKTION K-640,VORLAGEN LOESUNGSMITTEL,ABWAESSER,F/HAEFLIGER,D/87,AICI
000247,115217,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,ANALYSE,,,AIC4
0001342,111281,2-OR-90,OTRIVIN PH,FRAU SCHWARZ TASCHENTUCH,GELB PORTRAIT,,A2B4,
0001383,119336,3-OR-91,OTRIVIN PH,DUBAI 91 GEL STANDARD CARD,NASENGEL PACKUNGEN SAUDI,ARABIEN P/42240,D/91,A2B4
000428,117389,1-OR-90,SVP PRODUKTION SWISS,QUALITY PHARMACEUTICALS,KAPSELN WEICHGELATINE,P/32847,D/90,A103
0001891,117948,2-OR-91,PATIENT PH,MANN ZAHN SCHMERZ,ZAHNSCHMERZEN,,,A1B1
00076,108692,2-OR-89,PH PRODUKTION K-640,LUEFTUNGS ANLAGE,,! F/HAEFLIGER,! D/87,
0001997,114965,3-OR-90,AERZTE PH,MAENNER KITTEL WEISS,SCHWARZ ASIATE STETHOSKOP,D/90,A1B1,
0001684,108511,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,UEBRIGE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
000531,118263,2-OR-91,BRADORAL PH SAUDI ARABIEN,HENRYK POSTKARTE TOURIST,MANN SCHNAUZ FOTOAPPARAT,BERET,D/91,AZAZ
0001394,118794,3-0R-91,OTRIVIN PH,PACKUNGEN GEL NASENGEL,,,D/91,A2B4
0001612,108430,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,DRAGEE,FESTE DARREICHUNGSFORMEN,D/88,A1A7
0001225,111102,2-OR-90,NICOTINELL TTS PH,MANN ZIGARETTE RAUCHEN,PORTRAIT PROFIL,P/32789,D/89,A2B3
0001671,109841,2-QR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,STERILE DARREICHUNGSFORMEN,AMPULLEN Q/A,D/89,A1A7
0001525,108353,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,!,D/88,AIA7
000826,113070,3-OR-90,GLYVENOL-PH,PACKUNG-SUPPOSITORIEN,FRANZOESISCH,,D/90,A2A7
000450,115134,3-QR-90,SVP,KAPSEL DARREICHUNGSFORM,SERVIMETA 25,! Q/NOF S/VILLIGER,! D/89,! A103
0001814,118572,2-OR-91,PATIENT PH,MANN WUESTE SAUDI ARABIEN,KOPF SCHMERIEN,,A181,
0001900,117888,2-OR-91,PATIENT PH,MANN HUSTEN,,,A1B1,
000890,110764,3-DR-90,HEMERAN PH CH OTC,PACKUNGEN GEL CREME LOTION,,13,A2AB,
0001134,111041,3-DR-90,MICOREN PH CH OTC,MICOREN 100 30 PERLEN,,D/89,A2B2,
0001373,111293,3-OR-90,OTRIVIN PH,PACKUNGEN NEBULISATOR,1X0 0.5Z0,,A2B4,
00037,119449,2-OR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,AIC1
000849,110773,3-DR-90,HEMERAN PH CH DTC,PACKUNGEN HEMERVEN,,,AZA8,
000885,110763,3-DU-90,HEMERAN PH CH OTC,SCHAUFENSTER,,,AZAB,
0001942,114908,2-DR-90,PATIENT PH,MANN FRAU SCHWARZ HAND,KOPF SCHMERZ,I,I A181,
000823,110741,3-DR-90,GLYVENOL PH,PACKUNG SUPPOSITORIEN,,,A2A7,
000898,111810,3-DR-90,HEMERAN PH CH OTC,VK-STELLER,,P/34357,D/90,A2AB
000433,115141,3-OR-90,SVP,DOKUMENTATION SERVICILLIN,,,A1D3,
0001510,108441,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,MITARBEITER,,D/88,A1A7
0001347,117440,2-DR-90,OTRIVIN PH,FRAU KLEID GRUEN SCHNUPFEN,TASCHENTUCH,,A2R4,
0001840,114909,2-DR-90,PATIENT PH,FRAU KIND SCHWARZ TUBE,PULMEX,,AIBI,
0001337,117346,3-OR-90,OTRINOL PH,PACKUNGEN SCHNUPFEN KAPSELN,BLISTER DEUTSCH,P/31670,A2B4,
000176,115210,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,MITARBEITER ANALYSE KAPSELN,,,A1C4
000257,115185,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,MITARBEITERIN ANALYSE,|,| A1C4,
000593,112285,3-DR-90,CIBACEN PH,KEGEL BLAU,,! P/32232,! D/90,! A2A3
0001528,108383,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,!,D/88,A1A7
0001349,117441,2-DR-90,OTRIVIN PH,FRAU KLEID GRUEN SCHNUPFEN,TASCHENTUCH,,A2B4,
000702,110654,3-DR-90,ESTRADERM TTS PH,PACKUNGEN ESTRADERM 50,,P/15636,A2A5,
000457,115121,3-OR-90,SVP,SERVITROCIN 250 KAPSELN 500,BLISTER AMPULLEN PACKUNGEN,SERVIDOXYNE 100 SERVISPOR,,A1D3
000763,110698,3-OR-90,FORTISAN PH,CHILDREN'S TEA,KAMILLE,! Q/NDF,! D/88,! A2A6
0001217,11740B,3-DR-90,NICOTINELL TTS PH,,ZIGARETTE,,A2B3,
0001260,111153,2-DR-90,NITRODERM TTS PH,PFLASTER HAENDE AUFREISEN,PACKUNG,,A2B3,
0001985,114996,2-DR-90,ARZT. PATIENT + SUJET PH,,ARM PATIENTIN ARZT SPRITZE,,A1B1,
000856,110768,3-OR-90,HEMERAN PH CH OTC,INSTAND B9 FRANZOESISCH,EMULGEL,D/89,A2AB,
0001444,111382,3-OR-90,OTRIVIN OTRINDL PH CH DTC,TUECHERBOX MAILING 1988,,P/31920,D/88,A2B4
0001282,113213,3-OR-90,NITRODERM TTS PH,PFLASTER MUSTER,NEUE EMULSION,,A2B3,
000941,110906,3-DR-90,LAMPREN PH,PACKUNGEN LAMPRENE 50 100,RIMACTANE 300,,AZB1,
0001876,117849,3-OR-91,PATIENT PH,FRAU RHEUMA SUPPE ESSEN,,,AIBI,
000425,11510Z,1-DR-90,SVP,PRODUKTION DARREICHUNGSFORM,KAPSELN WEICHGELATINE,,,AID3
0001729,108528,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,,D/88,A1A7
0001966,114977,Z-DR-90,ARM PATIENT SPRITZE,KRANKENSCHWESTE,ARZT PATIENT SUJET PH,A1R1,,
000393,115123,3-DR-90,SVP,SERVICILLIN SERVANOX,SERVITET 250 500 SERVIPEN-G,! BLISTER KAPSELN,! A1D3,
0001315,111596,2-OR-90,OTRINOL PH,MANN AUTOFAHREN AUTO WEISS,,P/42101 S/SCHEIDEGGER,D/88,A2B4
0001649,110215,2-DU-92,PHARMAZEUTISCHE ENTWICKLUNG,VON STERILEN DARREICHUNGS-,FORMEN. STERILRAUM TEILAN-,SICHT,COPYRIGHT CIBA-GEIGY,AIA7
0001264,113217,2-DR-90,NITRODERM TTS PH,SAUDI ARABIEN,FLUGZEUG FLUGPLATZ,P/42122,D/90,A2B3
000222,108662,2-OR-89,PH PRODUKTION,WST VERPACKEN,MITARBEITERIN,! F/MACK,! D/88,! AIC4
000904,110777,3-00-91,HEMERAN PH CH OTC,EMULGEL,MUSTER 89,D/89,A2A8,
000230,115223,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,LOESLICHKEITSTEST,,| A1C4,
000587,110596,3-OR-90,CELOSPOR PH,PACKUNGEN FRANZOESISCH,AMPULLEN VIAL,,A2A3,
000482,110488,3-DR-90,AMBILHAR PH,BILHARZIOSE,,G/NOPHOTO,A7AI,
0001491,108453,2-QR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,MITARBEITERIN,D/BB,A1A7,
00020,117493,3-DR-90,MEDIZIN PH,KRANKHEITSBILDER HYPERTONIE,NIERE KRANK,MAGAZIN 4/90 P/23004 S.24,D770,AIBZ
000743,110680,3-DU-90,EURAX PH,SELF MEDICATION SAUDI,ARABIEN DOKUMENTATION,,D/87,A2A5
000112,110258,2-OR-90,PH PRODUKTION,WSH-2112,,! F/HILTEBRAND,! D/89,! AIC3
0001370,118280,3-OR-91,OTRIVIN PH,PACKUNGEN ARABISCH ENGLISCH,NASENTROPFEN,P/42239,D/91,A2B4
0001558,108401,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/88,A1A7,
000700,110652,3-QR-90,ESTRADERM TTS PH,DOKUMENTATION CARE,PROMOTION,P/15632,A2A5,
0001093,110985,1-DR-90,LUDIOMIL PH,,MANN WINTER TELEFONMAST,,A2B1,
0001169,122058,3-DR-93,NICOTINELL TTS PH,PROMOTION JAPAN,,MAGAZIN 1/93 S.24,D/92,A2B3
0001695,108518,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,UEBRIGE DARREICHUNGSFORMEN,D/88,A1A7,
000173,115237,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,KAPSELN,,A1C4,
0001809,119353,2-OR-91,PATIENT PH,FRAU HUSTEN,,D/91,A1B1,
000808,110735,3-DR-90,GLY-CORAMIN PH CH OTC,VK-STELLER,,,A2A7,
0001177,122060,3-DR-93,NICOTINELL TTS PH,PROMOTION SCHWEDEN,,MAGAZIN 1/93 S.25,0/92,A283
0001306,111255,3-OR-90,NUPERCAINAL PH,SAUDI ARABIEN TUBE PACKUNG,,D/88,A2B3,
000508,121795,3-OR-92,ANAFRANIL PH,PACKING ANAFRANIL 10,DRAGEES,,A2A1,3-OR-92
0001552,108405,Z-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/BB,,A1A7
0001248,111138,2-QR-90,NITRODERM TTS PH,OBERKOERPER MANN PFLASTER,,A2B3,,
000252,115241,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,VERFALLDATUM,P/32 847,A1C4,
000781,110705,3-OR-90,FORTISAN PH,SAUDI ARABIEN CANDIES,DARREICHUNGSFORM,D/87,A2A6,
000407,115138,3-OR-90,SVP,DARREICHUNGSFORM BLISTER,LOEFFEL SERVIDRAT KAPSELN,DRAGEES TABLETTEN SERVIQUIN,SERVICILLIN SERVIGENTA,A103
0001972,116662,2-OR-90,ARZT PATIENTIN,ASIATE ASIATIN,,,I AIBI,
0001839,117418,2-OR-90,ARZT. PATIENT + SUJET PH,KRANKENSCHWESTER SPITAL,BETT FRAU BLUTDRUCKMESSER,,,A1B1
0001989,114990,2-DR-90,ARZT. PATIENT + SUJET PH,ARZT PATIENTIN INFUSION,SPITAL BETT,!,! AIBI,!
0001137,111050,3-OR-90,MODULAN PH,KNETMASSE LEPRA GRIP-AID,,P/50815,D/88,A2BZ
0001537,109843,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
000925,110903,3-DR-90,LAMPEN PH,PACKUNGEN LEPRA IST HEILBAR,MB-COMBI,P/32547,D/89,AZBI
0001046,110952,2-DR-90,LOPRESOR PH,MANN FRAU NACKT UMARMUNG,,,A2B1,
0001296,121790,3-DR-92,NITRODERM TTS PH,PFLASTER GRAFIK TENNIS,,F/BARABIND,REPRO,AZB3
000137,107007,2-OR-88,PH PRODUKTION,WSH-2112,ROEHREN,F/MACK,D/88,A1C3
0001059,110943,3-OR-90,LOPRESOR PH,LOPRESOR OROS,DARREICHUNGSFORM,D/89,A2B1,
000545,110541,2-DU-90,BRADORAL PH,PATIENT MANN PROFIL HAND,TABLETTE EINNEHMEN MUND,D/87 DETAILING AID,AZA2,
0001908,115035,2-OR-90,ARZT + PATIENT PH,ARZT PATIENTIN MUTTER,TOCHTER SCHWARZ UNTERSUCHEN | AIBI,,,
000496,110500,2-DR-90,ANAFRANIL PH,BAUM FENSTER BLUETEN,GARDINEN,F/LICHTSTEINER,A2A1,
000790,110714,3-OR-90,FORTISAN PY,PACKONGEN DOSE GOLD,SAUDI ARABIEN KLEIN,P/31274,D/87,A2A6
000967,110925,2-DR-90,LOCACORT PH,HAUTPROBLEME FRAU NACKT,SCHWARZ ARME RUECKEN OBEN,,,A7R1
0001390,111371,3-OR-90,OTRIVIN PH,GAMME,,,A2B4,
0001055,110937,3-OR-90,LOPRESOR PH,HERZ,Q/NDF,| P/31730,| D/88,| A2B1
00013,115016,3-OR-90,SUJET PH,KINDSMISSBRAUCH PUPPE,PARKETBODEN,,A1B1,
000767,110693,3-DR-90,FORTISAN PH,HERBAL DRINK RELAXATION,KRAEUTER HERBS,P/31274 SAUDI ARABIEN,D/87,A2A6
000396,115131,3-DU-90,SVP,BETALACTAN VIAL FLASCHE,,P/32847,,A103
000115,107365,2-OR-88,WSH MITARBEITER,WSH-2112 SCHALTZENTRALE,COMPUTER MONITOR,! F/ALBISSER,! D/88,! D2A4
000415,115127,3-0R-90,SVP,SERVIPROFEN SERVIMETA,SERVIGESIC 25 200 400 500,,A103,
000583,110555,3-08-90,BRADORAL PH,PACKUNG ENGLISCH TABLETTEN,SAUDI ARABIEN,P/32583 P/42109,D/87 DETAILING AID,A2A2
0001493,108388,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
0001284,111113,3-DR-90,NITRODERM TTS PH,PFLASTER,,Q/NOF,A2B3,
000966,110924,2-DR-90,LOCACORTEN PH,HAUTPROBLEME FRAU NACKT,ARME RUECKEN OBEN,,A2B1,
000789,110713,3-QR-90,FORTISAN PH,PACKUNGEN DOSE GELB DRINK,SAUDI ARABIEN,| P/31274,D/87,A2A6
000833,122057,3-DR-93,HABITROL USA 1992,PROMOTION,,MAGAZIN 1/93 S.24,D/92,A2A8
000263,115214,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,MITARBEITER ANALYSE KAPSELN,,,A1C4
000591,121B01,2-DR-92,CIBACEN PH,BLUTDRUCK MESSGERAET,,,D/91,A2A3
000740,110678,3-OR-90,EURAX PHI,SAUDI ARABIEN DETAILING,AID 1988 PACKUNG FLASCHE,! D/88,! A2A5,
000392,115119,3-DR-90,SVP,DERVIGESIC 500 PACKUNGEN,TABLETTEN BLISTER,DARREICHUNGSFORM,A103,
0001185,111081,2-OR-90,NICOTINELL TTS PH,FRAU LENDE PFLASTER PINK,BIKINI,D/89,A2B3,
0001855,117952,2-OR-91,PATIENT PH,MANN ZAHN SCHMERZ,ZAHNSCHMERZEN,,A181,
000765,118411,3-QR-91,FORTISAN PH,SAUDI ARABIEN CANDIES,DARREICHUNGSFORM,D/88,A2A6,
000972,118454,1-DR-91,LOCACORTEN PH,VERKRUSTETE ERDE RISSIG,,,D/91,A2B1
0001069,110967,3-OR-90,LOPRESOR PH,VISUAL-AID,,! P/31656,! A2B1,
000715,119319,2-OR-91,EURAX PH,KIND MAEDCHEN LACHEN,DUBAI PEDICULOSIS,P/42275,D/91,A2A5
0001798,114913,2-OR-90,PATIENT PH,MANN VERBAND KOPF ARM,SITZEN,,A1B1,2-OR-90 114913
0001041,110954,3-DR-90,LOPRESOR PH,ZIGARETTE,SAUDI ARABIEN,,A2R1,
000829,113073,3-OR-90,GLYVENDL PH,PACKUNG KAPSELN SALBE TUBE,SUPPOSITORIEN FRANZOSISCH,,D/90,A2A7
000665,110641,2-QR-90,ESTRADERM TTS PH,FRAU WANDERN RUCKSACK,PULLI SOCKEN ROT,,A2A5,
000775,118408,3-QR-91,FORTISAN PH,SAUDI ARABIEN ZITRONE,,Q/NOF,D/87,A2A6
000155,107026,2-DR-88,PH PRODUKTION,WSH-2112,ROEHRN,! F/MACK,! D/88,! AIC3
00043,119457,2-0R-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,A1C1
000399,117878,3-OR-91,SVP,BLISTER KAPSELN,,,A103,
0001873,118578,Z-OR-91,PATIENT PH,MANN TREPPE FUSS VERTRETEN,SCHMERZ,,A1B1,
000672,110628,1-OR-90,ESTRADERM TTS PH,ISRAEL FRAU DUSCHE PFLASTER,RUECKEN,P/32691,D/89,A2A5
0001173,111098,2-OR-90,NICOTINELL TTS PH,MANN ZIGARETTE RAUCHEN,PORTRAIT PROFIL,P/32789,D/89,A283
0001619,108422,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITERIN,D/88,A1A7
00057,117162,2-DR-90,PH PRODUKTION K-693,PILOTANLAGE,MITARBEITER,,D/90,AICI
0001517,108410,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/88,A1A7,
0001565,108358,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
000192,115236,1-GR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,KAPSELN,,A1C4,
000181,115173,1-GR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,MITARBEITERIN,,A1C4,
0001385,111611,3-0R-90,OTRIVIN PH,NASENSPRAY ENGLISCH,SAUDI ARABIEN,D/90,A2B4,
000133,107015,2-DR-88,PH PRODUKTION,WSH-2112,ROEHREN,! F/MACK,! D/88,! A1C3
0001029,117341,2-DR-90,LOGROTON PH,TABLETTE AUFLOESUNG,,,A2B1,
000500,111617,3-DR-90,ANAFRANIL PH,INGERAT LUDIOMIL TEGRETOL,,P/34347,A2A1,
0001862,117958,2-OR-91,PATIENT PH,MANN RUECKEN SCHMERZ,RUECKENSCHMERIEN,,! A1B1,
0001238,111145,2-DR-90,NITRODERM TTS PH,MANN PFLASTER HAMMER BALKEN,UNTERHEMD ORANGE,,D/83,A2B3
0001193,111088,2-OR-90,NICOTINELL ITS PH,FRAU CIGARETTE PORTRAIT,RAUCHEN BLOND,P/32789,D/89,A2B3
000106,106985,2-OR-88,PH PRODUKTION,WSH-2112 UMWELTSCHUTZ,ABLUFT NASSWAESCHER,F/MACK,D/88,A1C3
0001488,108448,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,MITARBEITERIN,,D/88,A1A7
0001954,11486B,1-OR-90,PATIENT PH,,DOGGEN FAMILIE WALDRAND,,,A181
0001437,111389,3-DU-90,OTRIVIN OTRINOL PH CH OTC,PACKUNGEN,,,D/89,A2B4
0001042,110955,3-OR-90,LOPRESOR PH,7 ZIGARETTEN R6 SPEZIAL,SAUDI ARABIEN,,AZB1,
000564,110543,3-DR-90,BRADORAL SPRAY PH,DOKUMENTATION INFOBLATT,PROSPEKT ISRAEL,,D/89,AZAZ
000513,110530,2-DR-90,ANDURSIL PH,MOERSER KORALLE PULVER,,D/79,A2A1,
000861,110748,3-DU-90,HEMERAN PH CH OTC,EMULGEL AID 89,,,D/89,A2AB
000675,110659,3-DR-90,ESTRADERM TTS PH,PACKUNGEN PFLASTER,ESTRADERM 50,P/15636,A2A5,
00034,119454,2-OR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,AIC1
00033,119447,2-OR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,AIC1
000183,115156,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,ANALYSE,AIC4,,
0001056,110966,3-OR-90,LOPRESOR PH,VISUAL-AID,,P/31656,A2B1,
000846,110771,3-DR-90,HEMERAN PH CH OTC,EMULGEL SALES FOLDER 89,,,D/89,AZAB
000560,112287,3-QR-90,BRADORAL PH,PACKUNG SAUDI ARABIEN,TABLETTEN BLISTER,! P/42109,! D/90,! A2A2
0001438,111385,3-DR-90,OTRIVIN DTRINOL PH CH OTC,GAMME,,,D/89,A2B4
000650,110629,2-DR-90,ESTRADERM TTS PH,FRAU SCHUERIE BLAU TOEPFERN,,,A2A5,
0001092,110983,1-DR-90,LUDIOMIL PH,WINTER MAENNER BRUECKE,,,,A2B1
000161,107035,2-OR-88,PH PRODUKTION,WSH-2112,STEUERUNG,F/MACK,D/88,A1C3
0001790,114905,2-OR-90,PATIENT PH,FRAU SPITAL BETT INFUSION,,!,AIR1,
0001905,117844,2-OR-91,PATIENT PH,MANN,,|,AIB1,
000204,115230,1-DR-90,PH PRODUKTION,MST QUALITAETSKONTROLLE,TABLETTEN,,AICA,
0001095,110986,1-DR-90,LUDIOMIL PH,WINTER ZUGSCHIENE ARBEITER,,,A2B1,
0001690,108504,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,UEBRIGE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
0001674,108484,Z-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,STERILE DARREICHUNGSFORMEN,AMPULLEN,D/88,A1A7
0001379,11136B,3-OR-90,OTRIVIN PH,NASENTROPFEN ROT 10 ML,ERWACHSENE PACKUNGEN,,A2B4,
000776,118410,3-08-91,FORTISAN PH,SAUDI ARABIEN ORANGE,,Q/WDF,D/87,A2A6
